Location,Rent,Posted_date
"Palm Jumeirah, Dubai",138710,2025-03-10 18:33:59.387905
"Dubai Marina, Dubai",263880,2025-01-12 18:33:59.387905
"Palm Jumeirah, Dubai",154455,2025-03-08 18:33:59.387905
"Jumeirah Lakes Towers, Dubai",339591,2025-04-12 18:33:59.387905
"Jumeirah Lakes Towers, Dubai",288383,2024-11-06 18:33:59.387905
"Dubai Marina, Dubai",76503,2025-04-14 18:33:59.387905
"Palm Jumeirah, Dubai",101091,2025-04-04 18:33:59.387905
"Downtown Dubai, Dubai",42483,2024-11-01 18:33:59.387905
"Dubai Hills, Dubai",65361,2024-10-30 18:33:59.387905
"Jumeirah Village Circle, Dubai",350734,2024-12-13 18:33:59.387905
"Dubai Silicon Oasis, Dubai",345674,2025-03-17 18:33:59.387905
"Jumeirah Lakes Towers, Dubai",341674,2025-03-22 18:33:59.387905
"Palm Jumeirah, Dubai",148802,2024-11-13 18:33:59.387905
"Dubai Hills, Dubai",45777,2024-10-31 18:33:59.387905
"Jumeirah Village Circle, Dubai",332039,2025-03-27 18:33:59.387905
"Business Bay, Dubai",180575,2024-11-08 18:33:59.387905
"Downtown Dubai, Dubai",185612,2025-04-12 18:33:59.387905
"Downtown Dubai, Dubai",249730,2024-10-28 18:33:59.387905
"Business Bay, Dubai",252483,2025-01-11 18:33:59.387905
"Jumeirah Lakes Towers, Dubai",173808,2024-12-06 18:33:59.387905
"Dubai Hills, Dubai",313053,2025-02-25 18:33:59.387905
"Dubai Silicon Oasis, Dubai",228144,2025-03-01 18:33:59.387905
"Jumeirah Lakes Towers, Dubai",273956,2024-11-10 18:33:59.387905
"Dubai Silicon Oasis, Dubai",164039,2025-02-12 18:33:59.387905
"Palm Jumeirah, Dubai",224504,2024-12-03 18:33:59.387905
"Dubai Hills, Dubai",204436,2025-02-16 18:33:59.387905
"Jumeirah Lakes Towers, Dubai",112921,2025-01-09 18:33:59.387905
"Dubai Hills, Dubai",128323,2025-04-23 18:33:59.387905
"Jumeirah Village Circle, Dubai",85519,2024-11-12 18:33:59.387905
"Business Bay, Dubai",211113,2024-11-13 18:33:59.387905
"Palm Jumeirah, Dubai",189390,2024-11-13 18:33:59.387905
"Business Bay, Dubai",345652,2024-11-13 18:33:59.387905
"Dubai Marina, Dubai",120417,2025-01-30 18:33:59.387905
"Jumeirah Village Circle, Dubai",337171,2025-02-05 18:33:59.387905
"Business Bay, Dubai",322700,2024-11-16 18:33:59.387905
"Palm Jumeirah, Dubai",174928,2024-11-14 18:33:59.387905
"Business Bay, Dubai",360279,2024-11-05 18:33:59.387905
"Dubai Silicon Oasis, Dubai",242678,2025-04-08 18:33:59.387905
"Jumeirah Lakes Towers, Dubai",56585,2025-03-18 18:33:59.387905
"Jumeirah Village Circle, Dubai",140905,2025-01-15 18:33:59.387905
"Downtown Dubai, Dubai",222038,2024-10-31 18:33:59.387905
"Jumeirah Village Circle, Dubai",115697,2025-04-21 18:33:59.387905
"Downtown Dubai, Dubai",43447,2025-01-23 18:33:59.387905
"Dubai Hills, Dubai",59982,2025-04-03 18:33:59.387905
"Business Bay, Dubai",154051,2024-12-05 18:33:59.387905
"Jumeirah Village Circle, Dubai",47151,2025-03-20 18:33:59.387905
"Dubai Marina, Dubai",258020,2025-04-05 18:33:59.387905
"Business Bay, Dubai",353340,2025-03-07 18:33:59.387905
"Dubai Marina, Dubai",206923,2025-02-26 18:33:59.387905
"Downtown Dubai, Dubai",92993,2025-02-01 18:33:59.387905
"Dubai Silicon Oasis, Dubai",135188,2025-04-04 18:33:59.387905
"Dubai Marina, Dubai",194230,2024-11-21 18:33:59.387905
"Jumeirah Village Circle, Dubai",358684,2025-02-14 18:33:59.387905
"Business Bay, Dubai",318365,2025-01-06 18:33:59.387905
"Dubai Silicon Oasis, Dubai",339482,2024-10-27 18:33:59.387905
"Jumeirah Village Circle, Dubai",354970,2024-11-19 18:33:59.387905
"Dubai Hills, Dubai",343149,2025-02-05 18:33:59.387905
"Jumeirah Village Circle, Dubai",211399,2024-10-27 18:33:59.387905
"Jumeirah Village Circle, Dubai",81011,2025-03-18 18:33:59.387905
"Downtown Dubai, Dubai",277796,2024-11-10 18:33:59.387905
"Jumeirah Lakes Towers, Dubai",182356,2025-01-10 18:33:59.387905
"Dubai Silicon Oasis, Dubai",92477,2024-12-11 18:33:59.387905
"Dubai Silicon Oasis, Dubai",54604,2024-11-30 18:33:59.387905
"Jumeirah Lakes Towers, Dubai",357821,2025-02-07 18:33:59.387905
"Dubai Silicon Oasis, Dubai",160151,2025-01-24 18:33:59.387905
"Jumeirah Village Circle, Dubai",145072,2025-02-21 18:33:59.387905
"Dubai Silicon Oasis, Dubai",258225,2025-02-02 18:33:59.387905
"Palm Jumeirah, Dubai",398715,2025-01-27 18:33:59.387905
"Dubai Marina, Dubai",399820,2024-11-11 18:33:59.387905
