neighborhood,property_type,bedrooms,area_sqft,current_rent,date
Al Mankhool,apartment,0,1310.0,88990.0,2025-04-24
Barsha Heights (Tecom),apartment,0,1461.0,165000.0,2025-04-24
Barsha Heights (Tecom),apartment,0,495.0,69990.0,2025-04-24
JVC District 13,villa,0,408.0,60000.0,2025-04-24
015 sqftTHREE BED PLUS MAID ROOM VILLA II KITCHEN APPLINANCES II BEACHFRONTThe Pulse Beachfront,villa,0,2558.0,155000.0,2025-04-24
JVC District 17,villa,0,639.0,62000.0,2025-04-24
JVC District 17,villa,0,426.0,55000.0,2025-04-24
The Wings,apartment,0,769.0,79999.0,2025-04-24
Centrium Towers,apartment,0,721.0,56000.0,2025-04-24
JVC District 12,villa,0,743.0,67000.0,2025-04-24
JVC District 18,villa,0,384.0,45000.0,2025-04-24
JVC District 10,villa,0,793.0,110000.0,2025-04-24
DAMAC Hills 2 (Akoya by DAMAC),house,0,1208.0,80000.0,2025-04-24
JVC District 13,villa,0,1025.0,82000.0,2025-04-24
JVC District 17,villa,0,912.0,67000.0,2025-04-24
Business Bay,apartment,0,469.0,70000.0,2025-04-24
Al Furjan,villa,0,6135.0,370000.0,2025-04-24
DAMAC Maison Prive,apartment,0,1381.0,190000.0,2025-04-24
878 sqftBrand New | Single Row | Modern FinishLa Violeta 1,villa,0,1982.0,185000.0,2025-04-24
International City Phase 2 (Warsan 4),apartment,0,1202.0,74000.0,2025-04-24
Al Warqaa 1,apartment,0,1725.0,105000.0,2025-04-24
DAMAC Hills 2 (Akoya by DAMAC),apartment,0,756.0,840000.0,2025-04-24
DAMAC Hills 2 (Akoya by DAMAC),apartment,1,637.0,775000.0,2025-04-24
Verdes by Haven,apartment,0,873.0,1280000.0,2025-04-24
Cilia,apartment,9,1453.0,3399999.0,2025-04-24
Ghaf Woods,apartment,0,1248.0,3333000.0,2025-04-24
